"value_tier","commercial_risk_flag","n_users","segment_total_stake","pct_of_total_stake","segment_company_profit"
"Micro","Profitable","1243","556711.30","4.2","204532.28"
"Core","Profitable","841","3047192.75","23.0","1132151.52"
"VIP","Profitable","434","3803165.55","28.7","1329013.15"
"VIP","Loss-Making","210","1915067.75","14.4","-731272.29"
"Core","Loss-Making","486","1746504.80","13.2","-688950.40"
"Casual","Profitable","776","1289316.35","9.7","463462.00"
"Micro","Loss-Making","644","296230.75","2.2","-131961.98"
"Casual","Loss-Making","366","608975.90","4.6","-242388.28"
